中央氣象局局屬氣象暨雨量站現況表 2018/10 版
order, ID, station name, TWD67 lon, TWD67 lat, WGS84 lon, WGS84 lat, height, county, town, road, department 
1,466940,基隆,121.7323 ,25.1351 ,121.7405 ,25.1333 ,26.7 ,基隆市,仁愛區,港西街6號6樓(海港大樓),中央氣象局
2,466900,淡水,121.4407 ,25.1667 ,121.4489 ,25.1649 ,19.0 ,新北市,淡水區,中正東路42巷6號,中央氣象局
3,466880,板橋,121.4338 ,24.9994 ,121.4420 ,24.9976 ,11.0 ,新北市,板橋區,大觀路二段265巷62號,中央氣象局
4,466930,竹子湖,121.5363 ,25.1639 ,121.5445 ,25.1621 ,607.1 ,臺北市,北投區,陽明山竹子湖路2號,中央氣象局
5,466910,鞍部,121.5215 ,25.1844 ,121.5297 ,25.1826 ,832.6 ,臺北市,北投區,陽明山竹子湖路111號,中央氣象局
6,467571,新竹,121.0060 ,24.8296 ,121.0142 ,24.8279 ,26.9 ,新竹縣,竹北市,光明五街60號,中央氣象局
7,467490,臺中,120.6759 ,24.1475 ,120.6841 ,24.1457 ,84.0 ,臺中市,北區,精武路295號,中央氣象局
8,467770,梧棲,120.5152 ,24.2578 ,120.5234 ,24.2560 ,31.7 ,臺中市,梧棲區,臺灣大道十段2號6樓(海港大樓),中央氣象局
9,467350,澎湖,119.5550 ,23.5672 ,119.5631 ,23.5655 ,10.7 ,澎湖縣,馬公市,新興路2號,中央氣象局
10,467650,日月潭,120.8999 ,23.8831 ,120.9081 ,23.8813 ,1014.8 ,南投縣,魚池鄉,水社村中山路270巷14號,中央氣象局
11,467530,阿里山,120.8051 ,23.5100 ,120.8132 ,23.5082 ,2413.4 ,嘉義縣,阿里山鄉,中正村4鄰東阿里山73-1號,中央氣象局
12,467550,玉山,120.9514 ,23.4894 ,120.9595 ,23.4876 ,3844.8 ,南投縣,信義鄉,玉山北峰1號,中央氣象局
13,467480,嘉義,120.4248 ,23.4977 ,120.4329 ,23.4959 ,26.9 ,嘉義市,西區,北新里海口寮路56號,中央氣象局
14,467410,南區中心,120.1967 ,22.9950 ,120.2048 ,22.9932 ,40.8 ,臺南市,中西區,公園路21號,中央氣象局
15,467440,高雄,120.3077 ,22.5677 ,120.3157 ,22.5660 ,2.3 ,高雄市,前鎮區,漁港南二路2號,中央氣象局
